text_index,aspect,keyword_found,sentiment,text
0,quality,quality,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
0,performance,fast,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
2,quality,quality,negative,Poor quality control! Avoid this product!
4,quality,quality,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
4,performance,fast,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
5,features,features,positive,Really impressed with the features and performance!
5,performance,performance,positive,Really impressed with the features and performance!
6,price,value,positive,Great value for money! Very satisfied!
6,price,money,positive,Great value for money! Very satisfied!
10,price,price,negative,Not worth the price! Very disappointed!
11,quality,quality,positive,Great service and excellent quality! 👏
11,service,service,positive,Great service and excellent quality! 👏
12,quality,quality,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
12,performance,fast,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
16,price,value,positive,Great value for money! Very satisfied!
16,price,money,positive,Great value for money! Very satisfied!
17,features,functionality,neutral,Functionality is basic but sufficient.
18,quality,quality,negative,Poor quality control! Avoid this product!
20,price,value,positive,Great value for money! Very satisfied!
20,price,money,positive,Great value for money! Very satisfied!
23,quality,quality,positive,Great service and excellent quality! 👏
23,service,service,positive,Great service and excellent quality! 👏
25,price,value,positive,Great value for money! Very satisfied!
25,price,money,positive,Great value for money! Very satisfied!
26,features,features,neutral,Typical product with standard features.
29,quality,quality,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
29,performance,fast,positive,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
30,price,money,negative,Terrible experience! Waste of money! 😡
31,quality,quality,positive,Great service and excellent quality! 👏
31,service,service,positive,Great service and excellent quality! 👏
32,features,features,neutral,Typical product with standard features.
34,quality,quality,negative,Poor quality control! Avoid this product!
35,price,money,negative,Terrible experience! Waste of money! 😡
45,quality,quality,neutral,"Average quality, meets basic expectations."
46,features,features,neutral,Typical product with standard features.
47,quality,quality,neutral,"Average quality, meets basic expectations."
48,quality,quality,negative,Poor quality control! Avoid this product!
49,quality,quality,negative,Poor quality and bad customer service!
49,service,service,negative,Poor quality and bad customer service!
