text_index,brand,keyword_found,text
11,twitter,x,Great service and excellent quality! 👏
13,twitter,x,Exceeded my expectations! Amazing product!
23,twitter,x,Great service and excellent quality! 👏
28,twitter,x,"Standard product, nothing extraordinary."
30,twitter,x,Terrible experience! Waste of money! 😡
31,twitter,x,Great service and excellent quality! 👏
33,twitter,x,Average experience overall.
35,twitter,x,Terrible experience! Waste of money! 😡
37,twitter,x,Average experience overall.
45,twitter,x,"Average quality, meets basic expectations."
47,twitter,x,"Average quality, meets basic expectations."
54,twitter,x,Fantastic experience with customer support!
57,twitter,x,Great service and excellent quality! 👏
60,twitter,x,Terrible experience! Waste of money! 😡
61,twitter,x,"Average quality, meets basic expectations."
67,twitter,x,Terrible experience! Waste of money! 😡
68,twitter,x,"Average quality, meets basic expectations."
71,twitter,x,Fantastic experience with customer support!
83,twitter,x,Exceeded my expectations! Amazing product!
91,twitter,x,Fantastic experience with customer support!
100,twitter,x,Exceeded my expectations! Amazing product!
103,twitter,x,"Average quality, meets basic expectations."
110,twitter,x,Exceeded my expectations! Amazing product!
116,twitter,x,Terrible experience! Waste of money! 😡
117,twitter,x,Terrible experience! Waste of money! 😡
121,twitter,x,Great service and excellent quality! 👏
122,twitter,x,"Standard product, nothing extraordinary."
127,twitter,x,"Average quality, meets basic expectations."
135,twitter,x,Average experience overall.
138,twitter,x,Fantastic experience with customer support!
142,twitter,x,"Standard product, nothing extraordinary."
143,twitter,x,Average experience overall.
158,twitter,x,Average experience overall.
164,twitter,x,Fantastic experience with customer support!
170,twitter,x,"Average quality, meets basic expectations."
171,twitter,x,Terrible experience! Waste of money! 😡
174,twitter,x,This is exactly what I was looking for! Perfect!
176,twitter,x,"Average quality, meets basic expectations."
177,twitter,x,"Average quality, meets basic expectations."
186,twitter,x,Average experience overall.
188,twitter,x,Fantastic experience with customer support!
195,twitter,x,Fantastic experience with customer support!
198,twitter,x,Average experience overall.
199,twitter,x,Average experience overall.
206,twitter,x,Terrible experience! Waste of money! 😡
212,twitter,x,"Average quality, meets basic expectations."
213,twitter,x,Terrible experience! Waste of money! 😡
217,twitter,x,This is exactly what I was looking for! Perfect!
229,twitter,x,Terrible experience! Waste of money! 😡
230,twitter,x,Fantastic experience with customer support!
232,twitter,x,This is exactly what I was looking for! Perfect!
233,twitter,x,Average experience overall.
234,twitter,x,Great service and excellent quality! 👏
239,twitter,x,"Standard product, nothing extraordinary."
241,twitter,x,Fantastic experience with customer support!
242,twitter,x,"Standard product, nothing extraordinary."
244,twitter,x,Fantastic experience with customer support!
247,twitter,x,Fantastic experience with customer support!
257,twitter,x,Terrible experience! Waste of money! 😡
258,twitter,x,This is exactly what I was looking for! Perfect!
260,twitter,x,Exceeded my expectations! Amazing product!
264,twitter,x,Fantastic experience with customer support!
266,twitter,x,Terrible experience! Waste of money! 😡
270,twitter,x,This is exactly what I was looking for! Perfect!
