text1_index,text2_index,similarity,text1,text2
28,31,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
37,91,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
31,44,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
2,37,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
2,95,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
2,29,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
37,95,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
22,91,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
22,95,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
29,91,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
91,95,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
22,37,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
2,91,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
22,29,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
29,95,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
13,28,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
29,37,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
13,31,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
39,62,1.0000000000000004,Typical product with standard features.,Typical product with standard features.
2,22,1.0000000000000004,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
28,44,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
13,44,1.0000000000000004,Not worth the price! Very disappointed!,Not worth the price! Very disappointed!
16,55,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
14,34,1.0000000000000002,Average experience overall.,Average experience overall.
88,94,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
30,55,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
