text_index,emotion,polarity,subjectivity,text
0,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
1,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
2,sadness,-0.625,0.6,Poor quality control! Avoid this product!
3,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
4,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
5,joy,1.0,1.0,Really impressed with the features and performance!
6,joy,0.90625,0.875,Great value for money! Very satisfied!
7,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
8,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
9,joy,0.6875,0.75,I love this product! It's amazing! 😍
10,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
11,joy,0.9,0.875,Great service and excellent quality! 👏
12,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
13,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
14,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
15,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
16,joy,0.90625,0.875,Great value for money! Very satisfied!
17,neutral,0.0,0.125,Functionality is basic but sufficient.
18,sadness,-0.625,0.6,Poor quality control! Avoid this product!
19,joy,0.5,0.35,Absolutely love it! Worth every penny!
20,joy,0.90625,0.875,Great value for money! Very satisfied!
21,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
22,joy,0.6875,0.75,I love this product! It's amazing! 😍
23,joy,0.9,0.875,Great service and excellent quality! 👏
24,joy,0.5,0.5,"It works as described, nothing more."
25,joy,0.90625,0.875,Great value for money! Very satisfied!
26,neutral,-0.08333333333333333,0.25,Typical product with standard features.
27,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
28,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
29,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
30,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
31,joy,0.9,0.875,Great service and excellent quality! 👏
32,neutral,-0.08333333333333333,0.25,Typical product with standard features.
